Datetime,Open,High,Low,Close,Adj Close,Volume
2023-12-04 10:30:00-05:00,189.98,190.05,189.54,189.73,189.73,1623840
2023-12-04 10:35:00-05:00,189.7278,190,189.48,189.49,189.49,884044
2023-12-04 10:40:00-05:00,189.4827,189.54,189.08,189.1,189.1,802122
2023-12-04 10:45:00-05:00,189.1,189.29,188.99,189.2,189.2,727794
2023-12-04 10:50:00-05:00,189.2,189.49,188.93,189.47,189.47,612053
2023-12-04 10:55:00-05:00,189.475,189.585,189.34,189.3972,189.3972,474039
2023-12-04 11:00:00-05:00,189.4,189.56,189.26,189.48,189.48,441524
2023-12-04 11:05:00-05:00,189.475,189.64,189.32,189.39,189.39,373533
2023-12-04 11:10:00-05:00,189.39,189.6266,189.38,189.43,189.43,401351
2023-12-04 11:15:00-05:00,189.4299,189.46,189.08,189.1,189.1,414618
2023-12-04 11:20:00-05:00,189.11,189.21,188.485,188.51,188.51,663325
2023-12-04 11:25:00-05:00,188.505,188.52,188.09,188.16,188.16,830791
2023-12-04 11:30:00-05:00,188.16,188.28,187.85,187.905,187.905,1116466
2023-12-04 11:35:00-05:00,187.91,188.07,187.8,187.85,187.85,407295
2023-12-04 11:40:00-05:00,187.8483,188.14,187.775,188.025,188.025,465800
2023-12-04 11:45:00-05:00,188.035,188.115,187.83,187.9024,187.9024,331783
2023-12-04 11:50:00-05:00,187.9,187.915,187.75,187.82,187.82,357530
2023-12-04 11:55:00-05:00,187.82,188.11,187.805,188.03,188.03,371526
2023-12-04 12:00:00-05:00,188.02,188.025,187.6112,187.735,187.735,407602
2023-12-04 12:05:00-05:00,187.733,187.85,187.53,187.545,187.545,279907
2023-12-04 12:10:00-05:00,187.545,187.7399,187.4511,187.645,187.645,355604
2023-12-04 12:15:00-05:00,187.65,187.8777,187.64,187.8,187.8,550147
2023-12-04 12:20:00-05:00,187.805,187.9898,187.7,187.8901,187.8901,483636
2023-12-04 12:25:00-05:00,187.8911,188.08,187.82,187.97,187.97,404189
2023-12-04 12:30:00-05:00,187.96,188.09,187.88,187.97,187.97,266871
2023-12-04 12:35:00-05:00,187.96,188.06,187.835,188.02,188.02,256587
2023-12-04 12:40:00-05:00,188.0214,188.055,187.85,187.89,187.89,211456
2023-12-04 12:45:00-05:00,187.9,188.21,187.9,188.12,188.12,276046
2023-12-04 12:50:00-05:00,188.12,188.245,188.07,188.075,188.075,247151
2023-12-04 12:55:00-05:00,188.07,188.42,188.07,188.3601,188.3601,338872
2023-12-04 13:00:00-05:00,188.365,188.445,188.22,188.37,188.37,295934
2023-12-04 13:05:00-05:00,188.38,188.435,188.2,188.2099,188.2099,214895
2023-12-04 13:10:00-05:00,188.2021,188.45,188.2021,188.44,188.44,191810
2023-12-04 13:15:00-05:00,188.44,188.57,188.26,188.26,188.26,236820
2023-12-04 13:20:00-05:00,188.26,188.3399,188.19,188.225,188.225,263511
2023-12-04 13:25:00-05:00,188.23,188.565,188.225,188.4542,188.4542,307455
2023-12-04 13:30:00-05:00,188.46,188.67,188.42,188.6,188.6,238033
2023-12-04 13:35:00-05:00,188.6,188.655,188.5,188.64,188.64,161971
2023-12-04 13:40:00-05:00,188.6375,188.74,188.61,188.66,188.66,236856
2023-12-04 13:45:00-05:00,188.66,188.722,188.5916,188.61,188.61,173731
2023-12-04 13:50:00-05:00,188.6,188.71,188.54,188.611,188.611,166399
2023-12-04 13:55:00-05:00,188.61,188.77,188.6,188.67,188.67,156203
2023-12-04 14:00:00-05:00,188.67,188.68,188.5737,188.59,188.59,165835
2023-12-04 14:05:00-05:00,188.585,188.66,188.495,188.56,188.56,229859
2023-12-04 14:10:00-05:00,188.57,188.675,188.56,188.6225,188.6225,155085
2023-12-04 14:15:00-05:00,188.625,188.75,188.61,188.71,188.71,157763
2023-12-04 14:20:00-05:00,188.715,188.81,188.63,188.68,188.68,350717
2023-12-04 14:25:00-05:00,188.6714,188.685,188.535,188.5499,188.5499,150944
2023-12-04 14:30:00-05:00,188.545,188.59,188.49,188.55,188.55,158502
2023-12-04 14:35:00-05:00,188.54,188.78,188.54,188.645,188.645,164075
2023-12-04 14:40:00-05:00,188.65,188.68,188.59,188.655,188.655,145062
2023-12-04 14:45:00-05:00,188.655,188.76,188.6387,188.64,188.64,168492
2023-12-04 14:50:00-05:00,188.645,188.755,188.625,188.695,188.695,171445
2023-12-04 14:55:00-05:00,188.695,188.72,188.605,188.665,188.665,182378
2023-12-04 15:00:00-05:00,188.665,188.74,188.57,188.58,188.58,205915
2023-12-04 15:05:00-05:00,188.59,188.65,188.495,188.555,188.555,187842
2023-12-04 15:10:00-05:00,188.555,188.75,188.54,188.71,188.71,205864
2023-12-04 15:15:00-05:00,188.71,188.88,188.71,188.825,188.825,294598
2023-12-04 15:20:00-05:00,188.82,188.91,188.73,188.9,188.9,247654
2023-12-04 15:25:00-05:00,188.91,188.965,188.79,188.85,188.85,207207
